Name;Team;Cl;Position;G;Solo Tack;Asst Tack;TT;FF;Int;Int Ret Yds;Int Ret TDs;Rejected/Blocked;Targeted;Rank;Solo Sack;Asst Sack;Sack Yds;Tot Sack
Chris Bergin;Northwestern;Sr.;LB;12;84.0;57.0;141.0;;;;;;;;;;;
Damone Clark;LSU;Sr.;LB;12;78.0;57.0;135.0;;;;;;;;;;;
Kyle Harmon;San Jose St.;Sr.;LB;12;72.0;61.0;133.0;;;;;;;;;;;
Chad Muma;Wyoming;Sr.;LB;13;85.0;57.0;142.0;;;;;;;;;;;
Avery Roberts;Oregon St.;Jr.;LB;12;65.0;63.0;128.0;;;;;;;;;;;
Carlton Martial;Troy;Jr.;LB;12;44.0;83.0;127.0;;;;;;;;;;;
Leo Chenal;Wisconsin;Jr.;LB;11;59.0;55.0;114.0;;;;;;;;;;;
Darren Anders;Bowling Green;Jr.;LB;12;56.0;68.0;124.0;;;;;;;;;;;
JJ Russell;Memphis;Sr.;LB;12;78.0;45.0;123.0;;;;;;;;;;;
Jack Campbell;Iowa;Jr.;LB;14;57.0;86.0;143.0;;;;;;;;;;;
Jackson Mitchell;UConn;Jr.;LB;12;48.0;72.0;120.0;;;;;;;;;;;
Jeremy Banks;Tennessee;Jr.;LB;13;59.0;69.0;128.0;;;;;;;;;;;
Jacoby Windmon;UNLV;Jr.;LB;12;71.0;47.0;118.0;;;;;;;;;;;
Nick Jackson;Virginia;Jr.;LB;12;54.0;63.0;117.0;;;;;;;;;;;
Ivan Pace Jr.;Miami (OH);Jr.;LB;13;60.0;65.0;125.0;;;;;;;;;;;
Bumper Pool;Arkansas;Sr.;LB;13;45.0;80.0;125.0;;;;;;;;;;;
James Patterson;Buffalo;Sr.;LB;12;48.0;66.0;114.0;;;;;;;;;;;
Kenny Logan Jr.;Kansas;Jr.;S;12;79.0;34.0;113.0;;;;;;;;;;;
Matthew Salopek;Miami (OH);So.;DB;12;69.0;43.0;112.0;;;;;;;;;;;
KD Davis;North Texas;Sr.;LB;13;51.0;70.0;121.0;;;;;;;;;;;
Malcolm Rodriguez;Oklahoma St.;Sr.;LB;14;76.0;54.0;130.0;;;;;;;;;;;
Mikel Jones;Syracuse;Jr.;LB;12;61.0;50.0;111.0;;;;;;;;;;;
Luke Reimer;Nebraska;So.;LB;12;61.0;48.0;109.0;;;;;;;;;;;
Tatum Bethune;UCF;Jr.;LB;12;60.0;48.0;108.0;;;;;;;;;;;
Justin Rice;Utah St.;Sr.;LB;14;61.0;63.0;124.0;;;;;;;;;;;
Jaylan Alexander;Purdue;Sr.;LB;13;69.0;45.0;114.0;;;;;;;;;;;
Quindell Johnson;Memphis;Jr.;DB;12;66.0;39.0;105.0;;;;;;;;;;;
Bryce Houston;Ohio;Jr.;LB;12;53.0;52.0;105.0;;;;;;;;;;;
Jaylin Thomas;Ball St.;Sr.;LB;13;56.0;57.0;113.0;;;;;;;;;;;
Quez Jackson;Georgia Tech;Jr.;LB;12;46.0;57.0;103.0;;;;;;;;;;;
D'Marco Jackson;App State;Sr.;LB;14;57.0;63.0;120.0;;;;;;;;;;;
Bryce Cosby;Ball St.;Sr.;DB;13;67.0;44.0;111.0;;;;;;;;;;;
Chance Campbell;Ole Miss;Sr.;LB;13;49.0;62.0;111.0;;;;;;;;;;;
Silas Kelly;Coastal Carolina;Sr.;LB;13;40.0;71.0;111.0;;;;;;;;;;;
Daiyan Henley;Nevada;Sr.;LB;12;61.0;41.0;102.0;;;;;;;;;;;
Reed Blankenship;Middle Tenn.;Sr.;S;13;75.0;35.0;110.0;;;;;;;;;;;
Josh Chandler-Semedo;West Virginia;Sr.;LB;13;68.0;42.0;110.0;;;;;;;;;;;
Abraham Beauplan;Marshall;Jr.;LB;13;43.0;67.0;110.0;;;;;;;;;;;
Cam'Ron Carter;Colorado St.;Sr.;LB;12;34.0;67.0;101.0;;;;;;;;;;;
Darius Muasau;Hawaii;Jr.;LB;13;64.0;45.0;109.0;;;;;;;;;;;
Jahad Woods;Washington St.;Sr.;LB;13;55.0;54.0;109.0;;;;;;;;;;;
Dean Clark;Kent St.;Jr.;S;14;78.0;39.0;117.0;;;;;;;;;;;
Ellis Brooks;Penn St.;Sr.;LB;12;53.0;47.0;100.0;;;;;;;;;;;
Drake Thomas;NC State;So.;LB;12;48.0;52.0;100.0;;;;;;;;;;;
Breon Hayward;UTEP;Sr.;LB;13;61.0;47.0;108.0;;;;;;;;;;;
Clayton Coll;Ball St.;Jr.;LB;13;51.0;57.0;108.0;;;;;;;;;;;
Nick Henrich;Nebraska;Fr.;LB;12;39.0;60.0;99.0;;;;;;;;;;;
Ayinde Eley;Georgia Tech;Jr.;LB;11;43.0;47.0;90.0;;;;;;;;;;;
Shaka Heyward;Duke;Jr.;LB;12;38.0;60.0;98.0;;;;;;;;;;;
Colin Schooler;Texas Tech;Sr.;LB;13;71.0;35.0;106.0;;;;;;;;;;;
Xavier Henderson;Michigan St.;Sr.;DB;13;61.0;35.0;96.0;;;;;;;;;;;
Cal Haladay;Michigan St.;Fr.;LB;13;39.0;57.0;96.0;;;;;;;;;;;
Tavian Combs;New Mexico;So.;DB;11;40.0;41.0;81.0;;;;;;;;;;;
Maxen Hook;Toledo;Fr.;S;13;38.0;57.0;95.0;;;;;;;;;;;
Jeslord Boateng;Akron;So.;LB;11;39.0;41.0;80.0;;;;;;;;;;;
Ryan Henry;Old Dominion;Jr.;LB;11;27.0;53.0;80.0;;;;;;;;;;;
Levani Damuni;Stanford;Jr.;LB;12;48.0;39.0;87.0;;;;;;;;;;;
Chandler Wooten;Auburn;Sr.;LB;13;55.0;39.0;94.0;;;;;;;;;;;
Darrian Beavers;Cincinnati;Sr.;LB;14;47.0;54.0;101.0;;;;;;;;;;;
JoJo Domann;Nebraska;Sr.;LB;10;45.0;27.0;72.0;;;;;;;;;;;
Jacquez Jones;Kentucky;Sr.;LB;12;40.0;46.0;86.0;;;;;;;;;;;
Cannon Blauser;Ohio;So.;LB;12;38.0;48.0;86.0;;;;;;;;;;;
Trey Dean III;Florida;Sr.;DB;13;41.0;52.0;93.0;;;;;;;;;;;
Noah Wilder;UAB;Sr.;LB;13;33.0;60.0;93.0;;;;;;;;;;;
Antwon Kincade;Western Ky.;Sr.;DB;14;54.0;46.0;100.0;;;;;;;;;;;
Fred Peters;Mississippi St.;Sr.;S;11;34.0;44.0;78.0;;;;;;;;;;;
Ethan Barr;Vanderbilt;So.;LB;12;44.0;41.0;85.0;;;;;;;;;;;
Jammie Robinson;Florida St.;So.;DB;12;42.0;43.0;85.0;;;;;;;;;;;
Jack Gibbens;Minnesota;Sr.;LB;13;56.0;36.0;92.0;;;;;;;;;;;
Dax Hollifield;Virginia Tech;Jr.;LB;13;44.0;48.0;92.0;;;;;;;;;;;
Tariq Speights;Eastern Mich.;Jr.;LB;13;18.0;74.0;92.0;;;;;;;;;;;
Evan Williams;Fresno St.;Jr.;DB;13;59.0;32.0;91.0;;;;;;;;;;;
R'Tarriun Johnson;Old Dominion;Jr.;S;13;49.0;42.0;91.0;;;;;;;;;;;
Jack Sanborn;Wisconsin;Sr.;LB;13;45.0;46.0;91.0;;;;;;;;;;;
Elery Alexander;Arkansas St.;Sr.;DB;12;54.0;30.0;84.0;;;;;;;;;;;
Dequan Jackson;Colorado St.;Sr.;LB;12;34.0;50.0;84.0;;;;;;;;;;;
Nathaniel Watson;Mississippi St.;Jr.;LB;12;33.0;51.0;84.0;;;;;;;;;;;
Brandon Drayton;Marshall;Sr.;S;10;36.0;34.0;70.0;;;;;;;;;;;
Gregory Grate;Middle Tenn.;Jr.;S;13;59.0;31.0;90.0;;;;;;;;;;;
Easton Gibbs;Wyoming;So.;LB;13;51.0;39.0;90.0;;;;;;;;;;;
Mark Robinson;Ole Miss;Sr.;LB;13;42.0;48.0;90.0;;;;;;;;;;;
James Skalski;Clemson;Sr.;LB;13;42.0;48.0;90.0;;;;;;;;;;;
Otis Reese;Ole Miss;Sr.;DB;13;33.0;57.0;90.0;;;;;;;;;;;
Nico Bolden;Kent St.;Sr.;S;12;47.0;36.0;83.0;;;;;;;;;;;
Micah Baskerville;LSU;Sr.;LB;12;40.0;43.0;83.0;;;;;;;;;;;
Devin Harper;Oklahoma St.;Sr.;LB;14;61.0;35.0;96.0;;;;;;;;;;;
Daniel Green;Kansas St.;Jr.;LB;13;69.0;20.0;89.0;;;;;;;;;;;
Nephi Sewell;Utah;Jr.;LB;13;54.0;35.0;89.0;;;;;;;;;;;
Blaze Alldredge;Missouri;Sr.;LB;13;53.0;36.0;89.0;;;;;;;;;;;
Blake Carroll;Georgia St.;Sr.;LB;13;48.0;41.0;89.0;;;;;;;;;;;
Lawson Hall;Nevada;Sr.;LB;13;44.0;45.0;89.0;;;;;;;;;;;
Teddy Gallagher;Coastal Carolina;Sr.;LB;13;40.0;49.0;89.0;;;;;;;;;;;
Arik Smith;Army West Point;Sr.;LB;13;39.0;50.0;89.0;;;;;;;;;;;
A.J. Finley;Ole Miss;Jr.;DB;13;36.0;53.0;89.0;;;;;;;;;;;
Omar Speights;Oregon St.;So.;LB;13;33.0;56.0;89.0;;;;;;;;;;;
Daniel Scott;California;Sr.;S;12;60.0;22.0;82.0;;;;;;;;;;;
Trevon Flowers;Tennessee;Sr.;DB;12;48.0;34.0;82.0;;;;;;;;;;;
Anthony Pandy;Arizona;Sr.;LB;12;46.0;36.0;82.0;;;;;;;;;;;
Tanner Ingle;NC State;Jr.;DB;12;39.0;43.0;82.0;;;;;;;;;;;
Justin Wright;Tulsa;Jr.;LB;12;39.0;43.0;82.0;;;;;;;;;;;
Markeveon Coleman;Texas St.;Sr.;LB;12;35.0;47.0;82.0;;;;;;;;;;;
Baylon Spector;Clemson;Sr.;LB;11;37.0;38.0;75.0;;;;;;;;;;;
Will Anderson Jr.;Alabama;So.;LB;15;58.0;44.0;102.0;;;;;;;;;;;
Darien Butler;Arizona St.;Sr.;LB;10;32.0;36.0;68.0;;;;;;;;;;;
Qwynnterrio Cole;Louisville;Sr.;DB;13;65.0;23.0;88.0;;;;;;;;;;;
Nasir Peoples;Virginia Tech;So.;DB;13;51.0;37.0;88.0;;;;;;;;;;;
Kyle Soelle;Arizona St.;Sr.;LB;13;43.0;45.0;88.0;;;;;;;;;;;
Jamal Hines;Toledo;Jr.;DE;13;37.0;51.0;88.0;;;;;;;;;;;
Sydney Brown;Illinois;Jr.;DB;12;50.0;31.0;81.0;;;;;;;;;;;
Brandon Smith;Penn St.;Jr.;LB;12;45.0;36.0;81.0;;;;;;;;;;;
Avery Young;Rutgers;Jr.;DB;12;42.0;39.0;81.0;;;;;;;;;;;
Juanyeh Thomas;Georgia Tech;Jr.;DB;12;38.0;43.0;81.0;;;;;;;;;;;
Gerrell Johnson;Massachusetts;Fr.;LB;12;29.0;52.0;81.0;;;;;;;;;;;
Ian Swenson;UConn;Sr.;LB;11;47.0;27.0;74.0;;;;;;;;;;;
DeMarvion Overshown;Texas;Sr.;LB;11;38.0;36.0;74.0;;;;;;;;;;;
Eldrick Robinson II;Ga. Southern;Fr.;LB;11;34.0;40.0;74.0;;;;;;;;;;;
Deshawn Pace;Cincinnati;So.;LB;14;45.0;49.0;94.0;;;;;;;;;;;
DeAngelo Malone;Western Ky.;Sr.;DE;14;44.0;50.0;94.0;;;;;;;;;;;
Nazeeh Johnson;Marshall;Sr.;S;10;43.0;24.0;67.0;;;;;;;;;;;
Jordan Lee;Nevada;Sr.;DB;13;68.0;19.0;87.0;;;;;;;;;;;
Darius Snow;Michigan St.;So.;S;13;61.0;26.0;87.0;;;;;;;;;;;
SirVocea Dennis;Pittsburgh;Jr.;LB;13;35.0;52.0;87.0;;;;;;;;;;;
Brandon Joseph;Northwestern;Jr.;DB;12;54.0;26.0;80.0;;;;;;;;;;;
Jason Henderson;Old Dominion;Fr.;LB;12;36.0;44.0;80.0;;;;;;;;;;;
